引擎开发工程师（UE4\/5）,广州广电运通金融电子股份有限公司,1.5-2万\/月,广州,上市公司,"[""五险一金"",""餐饮补贴"",""年终奖金"",""绩效奖金"",""定期体检"",""专业培训"",""免费班车"",""补充医疗保险"",""带薪年假"",""周末双休""]",3-4年经验,本科,招若干人,10000人以上
资深Unity3D游戏工程师,上海游奇网络有限公司,1.5-2万\/月,上海-浦东新区,民营公司,"[""""]",1年经验,本科,招若干人,150-500人
UE4开发工程师,昆明市土地开发整理中心,0.8-1万\/月,成都-武侯区,事业单位,"[""五险一金"",""周末双休"",""带薪年假"",""节日福利"",""弹性工作"",""专业培训"",""绩效奖金""]",1年经验,本科,招1人,50-150人
Android开发工程师,广州一起精彩艺术教育科技有限公司,1.2-2.4万\/月,成都-武侯区,民营公司,"[""节日福利"",""专业培训"",""社保六险"",""带薪暑假"",""带薪寒假"",""加班补贴""]",3-4年经验,本科,招2人,1000-5000人
游戏开发助理+可实习,武汉知鑫信息科技有限公司,6-8千\/月,武汉-洪山区,民营公司,"[""""]",无需经验,大专,招2人,
软件开发工程师（C#）,苏州广林达电子科技有限公司,1-2万\/月,苏州-工业园区,民营公司,"[""五险一金"",""员工旅游"",""年终奖金"",""弹性工作"",""绩效奖金"",""专业培训"",""定期体检""]",无需经验,本科,招4人,50-150人
Java开发工程师,上海精程软件有限公司,1.4-2万\/月,上海-浦东新区,民营公司,"[""五险一金"",""绩效奖金"",""年终奖金"",""弹性工作"",""员工旅游"",""交通补贴"",""定期体检"",""专业培训""]",5-7年经验,本科,招2人,50-150人
高级后端开发工程师,上海昀活网络科技有限公司,1.8-2.3万\/月,上海-徐汇区,民营公司,"[""""]",2年经验,本科,招2人,少于50人
设备软件开发工程师,湖南三安半导体有限责任公司,1.5-2万\/月,长沙-岳麓区,民营公司,"[""五险一金"",""节日福利"",""带薪年假"",""年终奖金"",""股票期权"",""免费班车""]",3-4年经验,硕士,招1人,1000-5000人
安卓系统开发工程师（高级）,深圳盈达信息科技有限公司,2.5-3.5万\/月,深圳-南山区,民营公司,"[""五险一金"",""年终奖金"",""专业培训"",""定期体检"",""员工旅游"",""节日福利"",""加班补贴""]",5-7年经验,本科,招1人,150-500人
Android开发工程师,四川易之美传媒有限公司,1-2万\/月,成都-武侯区,民营公司,"[""五险一金"",""带薪年假"",""弹性工作""]",3-4年经验,本科,招若干人,150-500人
自然语言处理（NLP）算法工程师,盈合（深圳）机器人与自动化科技有限公司,1.8-3.5万\/月,佛山-顺德区,民营公司,"[""""]",2年经验,本科,招3人,150-500人
系统架构师,浙江海数科技有限公司,30-40万\/年,嘉兴,国企,"[""周末双休"",""带薪年假"",""五险一金"",""绩效奖金"",""节日福利"",""餐饮补贴"",""高温补贴""]",5-7年经验,本科,招1人,少于50人
前端开发工程师,广州锐速智能科技股份有限公司,1-1.5万\/月,广州-增城区,民营公司,"[""员工旅游"",""年终奖金"",""绩效奖金"",""补充医疗保险"",""专业培训"",""五险一金""]",3-4年经验,大专,招2人,150-500人
软件开发工程师,深圳捷讯智能系统有限公司,1.3-2.6万\/月,深圳-坪山区,民营公司,"[""五险一金"",""员工旅游"",""专业培训"",""绩效奖金"",""年终奖金""]",2年经验,本科,招1人,50-150人
Labview工程师\/软件开发工程师,上海佑创信息工程有限公司,0.8-1.5万\/月,上海-闵行区,民营公司,"[""五险一金"",""员工旅游"",""餐饮补贴"",""绩效奖金"",""年终奖金"",""弹性工作"",""定期体检""]",1年经验,本科,招3人,少于50人
前端开发工程师（雄安）,云南红岭云科技股份有限公司,2-3万\/月,雄安新区,国企,"[""餐饮补贴"",""交通补贴"",""六险一金"",""周末双休"",""年度免费体检"",""节日福利"",""生日慰问""]",3-4年经验,本科,招5人,150-500人
高薪PHP开发工程师,河北抖推猫网络科技服务有限公司,0.6-1万\/月,沧州,民营公司,"[""五险一金"",""绩效奖金"",""带薪年假"",""员工福利"",""职业规划""]",2年经验,高中,招5人,50-150人
前端开发工程师,陕西大秦教育科技有限公司,6-7千\/月,西安-雁塔区,民营公司,"[""定期体检"",""通讯补贴"",""专业培训"",""绩效奖金"",""年终奖金"",""周末双休"",""社会保险""]",1年经验,大专,招1人,少于50人
H5开发工程师,汇正财经,1.4-1.8万\/月,上海,合资,"[""周末双休"",""带薪年假"",""五险一金"",""专业培训"",""绩效奖金"",""全勤奖"",""领导nice"",""楼下有餐厅"",""办公环境好"",""公司美女多""]",1年经验,本科,招1人,500-1000人
图像算法工程师 (MJ000449),上海移远通信技术股份有限公司,1.1-2万\/月,合肥-高新区,上市公司,"[""五险一金"",""交通补贴"",""员工旅游"",""通讯补贴"",""餐饮补贴"",""年终奖金"",""定期体检"",""弹性工作""]",2年经验,本科,招2人,1000-5000人
工程技术员,深圳市创亿欣精密电子股份有限公司,5.5-6.5千\/月,深圳,民营公司,"[""""]",1年经验,大专,招1人,500-1000人
GNSS基带算法工程师,丰疆智能科技股份有限公司,2-4万\/月,深圳-南山区,民营公司,"[""""]",3-4年经验,硕士,招2人,500-1000人
计算机软件设计助理,武汉交泰教育科技有限责任公司,6-8千\/月,武汉-洪山区,民营公司,"[""""]",无需经验,大专,招8人,50-150人
深度算法工程师,光子（深圳）精密科技有限公司,3-4万\/月,深圳-龙岗区,民营公司,"[""""]",3-4年经验,本科,招6人,150-500人
软件开发工程师,佛山市禅阳光电科技有限公司,0.5-1万\/月,佛山-三水区,民营公司,"[""绩效奖金"",""全勤奖"",""专业培训"",""周末双休"",""带薪年假"",""五险一金"",""节日福利""]",1年经验,大专,招1人,50-150人
前端开发工程师,武汉善鼎技术有限公司,1-1.5万\/月,武汉-洪山区,民营公司,"[""五险一金"",""员工旅游"",""补充医疗保险"",""交通补贴"",""餐饮补贴"",""通讯补贴"",""专业培训"",""弹性工作"",""定期体检"",""年终奖金""]",3-4年经验,本科,招2人,少于50人
视觉工程师,江苏烽禾升智能科技有限公司,1.5-3万\/月,昆山,民营公司,"[""五险一金"",""定期体检"",""绩效奖金"",""餐饮补贴""]",2年经验,大专,招1人,150-500人
高级软件工程师（Linux）,上海亿威航空电子股份有限公司,20-30万\/年,上海-浦东新区,民营公司,"[""做五休二"",""周末双休"",""餐饮补贴"",""五险一金"",""年终奖金"",""定期体检""]",5-7年经验,本科,招1人,50-150人
Android开发工程师,瀚觅智能科技无锡有限公司,3-4万\/月,上海-徐汇区,民营公司,"[""""]",5-7年经验,本科,招3人,50-150人
前端开发工程师,智臻寰宇高科技（深圳）有限公司,0.8-1.2万\/月,深圳-宝安区,民营公司,"[""五险一金"",""提供住宿"",""绩效奖金"",""年终奖金"",""定期体检"",""专业培训"",""定期团建"",""年度调薪"",""发展空间大""]",2年经验,本科,招若干人,少于50人
Java web开发工程师,英华达（上海）电子有限公司,0.6-1.2万\/月,上海-徐汇区,外资（非欧美）,"[""五险一金"",""餐饮补贴""]",2年经验,本科,招1人,50-150人
高级软件工程师,江苏智通交通科技有限公司,1.5-2万\/月,南京-江宁区,民营公司,"[""五险一金"",""餐饮补贴"",""年终奖金"",""专业培训"",""行业前景好"",""发展空间大"",""员工旅游"",""灵活调薪机制""]",3-4年经验,大专,招2人,50-150人
机器人导航算法工程师,上海同温层智能科技有限公司,3-4万\/月,上海-徐汇区,民营公司,"[""五险一金"",""年终奖金"",""专业培训"",""员工旅游""]",3-4年经验,本科,招2人,50-150人
软件工程师,上海矽恩意电子有限公司,1-1.5万\/月,上海-崇明区,创业公司,"[""做五休二"",""五险一金"",""餐饮补贴""]",3-4年经验,大专,招2人,少于50人
后端开发,深圳金赋科技有限公司,0.8-1万\/月,杭州-滨江区,民营公司,"[""""]",2年经验,本科,招若干人,50-150人
中级前端开发工程师,成都越凡创新科技有限公司,1.1-1.5万\/月,成都-郫都区,民营公司,"[""五险一金"",""年终奖金"",""绩效奖金"",""14薪"",""周末双休""]",3-4年经验,本科,招1人,50-150人
WebGL开发工程师,深圳市美兆环境股份有限公司,1.5-2万\/月,深圳-龙华区,上市公司,"[""五险一金"",""绩效奖金"",""年终奖金"",""专业培训"",""员工旅游""]",3-4年经验,本科,招1人,150-500人
视觉软件工程师,东莞铭普光磁股份有限公司,2-3万\/月,深圳-宝安区,上市公司,"[""周末双休"",""五险一金"",""餐饮补贴"",""绩效奖金"",""年终奖金"",""带薪年假"",""节日福利"",""住房补贴""]",2年经验,大专,招2人,1000-5000人
安卓\/IOS开发（双休 外企）,信必优(深圳)信息技术有限公司,1.6-2.2万\/月,广州-天河区,外资（欧美）,"[""六险一金"",""补充医疗保险"",""年终奖金"",""弹性工作"",""周末双休"",""带薪年假"",""基本不加班"",""节日礼品""]",3-4年经验,大专,招2人,1000-5000人
Android安卓开发工程师,广州雷迅创新科技股份有限公司,0.8-1.5万\/月,广州-南沙区,民营公司,"[""五险一金"",""绩效奖金"",""员工旅游"",""周末双休"",""包吃"",""不定时下午茶""]",2年经验,本科,招1人,50-150人
