招聘信息,公司名,工作地点,公司类型,薪资,福利,公司规模,企业类型,工作经验,学历,招聘人数,最低薪资,最高薪资
AutoML算法工程师,字节跳动,北京,民营公司,4-7万/月,下午茶 健身瑜伽 六险一金 五险一金 股票期权 团队氛围好 晋升空间大 带薪休假 扁平管理 用户过亿,10000人以上,互联网/电子商务,无需经验,本科,招1人,4,7
软件工程师,深圳创维-RGB电子有限公司,深圳,合资,0.8-1万/月,五险一金 绩效奖金 餐饮补贴 通讯补贴 带薪年假 节日福利 年终奖金 定期体检 补充医疗保险,10000人以上,家具/家电/玩具/礼品,校招,本科,招2人,0.8,1
初级游戏策划（免费培训）,乐堂控股集团,合肥,民营公司,6-8千/月,五险一金 员工旅游 年终奖金 绩效奖金 专业培训 定期体检 餐饮补贴 周末双休 包吃 节日福利,500-1000人,计算机软件,校招,大专,招20人,0.6,0.8
软件工程师,冲电气软件技术(江苏)有限公司,常州,外资（非欧美）,6-8千/月,五险一金 员工旅游 餐饮补贴 交通补贴 通讯补贴 专业培训 出国机会 绩效奖金 年终奖金 定期体检,150-500人,计算机软件,校招,本科,招20人,0.6,0.8
软件开发工程师,合肥中车轨道交通车辆有限公司,合肥,国企,1-1.5万/月,五险一金 周末双休 定期体检 专业培训 交通补贴 员工旅游 补充医疗保险 年终奖金,150-500人,机械/设备/重工,校招,本科,招1人,1,1.5
机器视觉工程师,励元科技（上海）有限公司,上海,民营公司,1.5-2.2万/月,五险一金 员工旅游 通讯补贴 绩效奖金 年终奖金 定期体检 出国机会,150-500人,计算机软件,无需经验,本科,招1人,1.5,2.2
软件开发工程师,上海宝信软件股份有限公司厦门分公司,福州,上市公司,5-8千/月,五险一金 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检,50-150人,计算机软件,校招,本科,招2人,0.5,0.8
Android实习开发工程师,广州飞磨科技有限公司,广州,民营公司,4-8千/月,五险一金 专业培训 节日福利 下午茶 餐补 生日福利 年终奖金 带薪年假 周末双休,少于50人,互联网/电子商务,校招,大专,招若干人,0.4,0.8
软件助理工程师 (MJ000136),深圳市和合自动化有限公司,东莞,民营公司,6-8千/月,五险一金 年终奖金 岗位晋升 专业培训 绩效奖金 包三餐 包住宿,500-1000人,新能源,无需经验,大专,招3人,0.6,0.8
软件开发、实施,江苏国光信息产业股份有限公司,成都,国企,0.7-1万/月,五险一金 年终奖金 专业培训 餐饮补贴 周末双休 通讯补贴,1000-5000人,互联网/电子商务,无需经验,大专,招2人,0.7,1
软件助理工程师,深圳市明朗微科技有限公司,深圳,民营公司,0.8-1万/月,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金 定期体检,50-150人,电子技术/半导体/集成电路,校招,本科,招2人,0.8,1
H5游戏开发,必果文创（北京）科技有限公司,广州,民营公司,0.8-1.3万/月,五险一金 定期体检 周末双休 包餐 零食下午茶 不加班 管理轻松 年终奖金 团队稳定 氛围轻松,50-150人,网络游戏,无需经验,本科,招若干人,0.8,1.3
算法工程师（数据同化）双休,南京创蓝科技有限公司,南京,民营公司,1.3-2.3万/月,五险一金 交通补贴 通讯补贴 年终奖金 周末双休 定期调薪 工龄工资 专业培训 定期体检 员工旅游,50-150人,环保,校招,硕士,招2人,1.3,2.3
软件工程师,宁波东海蓝帆科技有限公司,宁波,合资,5-7千/月,五险一金 专业培训 定期体检 通讯补贴 补充医疗保险 员工旅游 交通补贴 餐饮补贴 年终奖金,150-500人,计算机软件,无需经验,本科,招10人,0.5,0.7
算法工程师（校园招聘）,北京理工大学重庆微电子中心,重庆,事业单位,1.5-3万/月,五险一金 餐饮补贴 专业培训 绩效奖金 定期体检,50-150人,电子技术/半导体/集成电路,校招,硕士,招若干人,1.5,3
前端开发工程师,南京科睿金源软件有限公司,南京,民营公司,0.8-1万/月,五险一金 包吃包住,少于50人,计算机软件,无需经验,大专,招1人,0.8,1
人工智能开发实习生,江苏鸿程大数据技术与应用研究院有限公司,南京,民营公司,4.5-6千/月,五险一金 年终奖金 弹性工作,50-150人,计算机软件,校招,本科,招2人,0.45,0.6
技术研发人员,浙江太阳洲电气科技有限公司,宁波,民营公司,4-8千/月,五险一金 员工旅游 菜补 生日福利 提供住宿,150-500人,机械/设备/重工,校招,本科,招2人,0.4,0.8
GS专员,武汉雨狮科技有限公司,武汉,民营公司,4-8千/月,五险一金 年终奖金 绩效奖金 年底双薪 免费下午茶 定期体检 弹性工作 专业培训 节假日福利 生日福利,50-150人,网络游戏,无需经验,中技/中专,招50人,0.4,0.8
WEB前端开发,西安壹阳科技有限公司,西安,民营公司,5-7千/月,五险一金 补充医疗保险 员工旅游 交通补贴 绩效奖金 年终奖金 定期体检 早九晚六 周末双休 加班补贴,少于50人,计算机软件,无需经验,大专,招3人,0.5,0.7
校园招聘-软件开发,西安葡萄城信息技术有限公司,西安,外资（欧美）,0.8-1.3万/月,五险一金 员工旅游 餐饮补贴 专业培训 出国机会 弹性工作 定期体检 年终奖金,150-500人,计算机软件,校招,本科,招3人,0.8,1.3
落户北京-人工智能工程师,北京中盾安民分析技术有限公司,北京,国企,1.5-3万/月,五险一金 专业培训 定期体检 免费班车,150-500人,计算机服务(系统、数据服务、维修),校招,硕士,招若干人,1.5,3
软件工程师,深圳星火自动化科技有限公司,深圳,民营公司,0.8-1万/月,员工旅游 专业培训 节日福利 绩效奖金 全勤奖 五险一金 大小周,50-150人,计算机软件,无需经验,大专,招2人,0.8,1
软件开发工程师,上海攀升数字科技有限责任公司,上海,民营公司,1.5-2.2万/月,五险一金 绩效奖金,少于50人,计算机软件,无需经验,本科,招5人,1.5,2.2
研发助理工程师,深圳市环通认证中心有限公司,深圳,非营利组织,5.5-8千/月,做五休二 周末双休 五险一金 专业培训 节日福利 加班补贴 餐饮补贴,500-1000人,检测，认证,无需经验,本科,招1人,0.55,0.8
Web前端开发工程师,武汉科信云图信息技术有限公司,武汉,民营公司,0.7-1.1万/月,五险一金 交通补贴 通讯补贴 年终奖金 定期体检 职工意外险 节日福利 周末双休 集体国外旅游 项目奖金,少于50人,计算机软件,无需经验,本科,招若干人,0.7,1.1
数据库开发工程师（可实习  小白）,合肥书心信息科技有限公司,合肥,民营公司,0.8-1万/月,周末双休 弹性工作 绩效奖金 专业培训 年终奖金 五险,少于50人,互联网/电子商务,无需经验,大专,招5人,0.8,1
软件工程师,上海睿触科技有限公司,上海,民营公司,1.5-2万/月,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金,少于50人,医疗设备/器械,校招,硕士,招1人,1.5,2
软件工程师,苏州优利卡电子科技有限公司,苏州,民营公司,0.7-1.4万/月,五险一金 定期体检 员工旅游,少于50人,计算机软件,无需经验,大专,招若干人,0.7,1.4
无人机控制与制导算法工程师,湖南鲲鹏智汇科技有限公司,长沙,民营公司,0.8-1.7万/月,五险一金 股票期权 年终奖金 专业培训 通讯补贴 差旅补贴 项目提成 全勤奖 年功津贴,少于50人,航天/航空,无需经验,本科,招1人,0.8,1.7
视觉软件开发工程师,众致盛视智能科技（苏州）有限公司,昆山,民营公司,0.5-1万/月,五险一金 员工旅游 年终奖金 股票期权 定期体检,少于50人,计算机软件,校招,本科,招2人,0.5,1
深度学习算法实习生,深圳因势科技有限公司,西安,民营公司,3-5千/月,五险一金 专业培训 绩效奖金 弹性工作 定期体检,少于50人,计算机软件,校招,硕士,招若干人,0.3,0.5
IOS开发实习生,广州市威创网络科技有限公司,广州,民营公司,3-4千/月,五险一金 员工旅游 绩效奖金 年终奖金 股票期权 餐饮补贴,50-150人,网络游戏,校招,本科,招1人,0.3,0.4
初级软件开发工程师,武汉奥森迪科智能科技股份有限公司,武汉,民营公司,0.6-1.2万/月,五险一金 股票期权 年终奖金 绩效奖金,少于50人,仪器仪表/工业自动化,校招,本科,招若干人,0.6,1.2
软件工程师,晶品光电（常州）有限公司,常州,外资（非欧美）,4.5-6千/月,五险一金 弹性工作 定期体检 免费班车 年终奖金 周末双休,500-1000人,电子技术/半导体/集成电路,校招,本科,招1人,0.45,0.6
机器视觉应用工程师,合肥艾鸥领克自动化科技有限公司,合肥,民营公司,6-8千/月,五险一金 交通补贴 餐饮补贴 通讯补贴 年终奖金 弹性工作 专业培训 绩效奖金,少于50人,仪器仪表/工业自动化,无需经验,大专,招6人,0.6,0.8
软件开发工程师(东莞),苏州东荃资讯科技有限公司,东莞,外资（非欧美）,4.5-6千/月,五险一金 餐饮补贴 员工旅游 年终奖金,少于50人,计算机硬件,校招,大专,招2人,0.45,0.6
算法工程师,深圳市科曼医疗设备有限公司,深圳,民营公司,1.5-2万/月,带薪年假 六险一金 提供住宿 年终奖金 全勤奖 餐饮补贴 工作环境 调薪机会 团建 节日福利,1000-5000人,医疗设备/器械,校招,硕士,招5人,1.5,2
APP开发工程师（实习）,广东省大湾区集成电路与系统应用研究院,广州,事业单位,3-4千/月,周末双休 年终奖金 定期体检 带薪年假 六险一金,150-500人,学术/科研,校招,大专,招1人,0.3,0.4
2022届应届生招聘（理工科）,华设设计集团股份有限公司,南京,上市公司,0.8-1万/月,五险一金 补充医疗保险 免费班车 员工旅游 交通补贴 餐饮补贴 专业培训 定期体检 年终奖金 绩效奖金,1000-5000人,交通/运输/物流,校招,本科,招10人,0.8,1
汽车电子-软件工程师,长春启配信息技术服务有限公司,长春,民营公司,0.8-1.2万/月,五险一金 班车食堂 周末双休,少于50人,汽车零配件,无需经验,大专,招1人,0.8,1.2
数字信号处理算法工程师,奉加微电子（上海）有限公司,上海,合资,1-2万/月,五险一金 年终奖金 补充医疗保险,50-150人,电子技术/半导体/集成电路,校招,本科,招2人,1,2
软件工程师,常州佰肯智控科技有限公司,常州,民营公司,1-2万/月,五险一金 餐饮补贴 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,少于50人,计算机软件,校招,本科,招2人,1,2
软件工程师（JAVA）,上银科技（中国）有限公司,苏州,外资（非欧美）,0.8-1.2万/月,五险一金 年终奖金 专业培训,150-500人,机械/设备/重工,无需经验,大专,招1人,0.8,1.2
软件研发工程师,辽宁聚进科技有限公司,沈阳,民营公司,0.7-1万/月,五险一金 免费班车 交通补贴 餐饮补贴 满勤奖 节日福利 绩效奖金 项目奖金,50-150人,计算机软件,无需经验,硕士,招5人,0.7,1
《15万顶薪》游戏策划应届生(校)00,广州尊游软件科技有限公司,青岛,民营公司,0.5-1万/月,五险一金 弹性工作 周末双休 包吃 专业培训 绩效奖金 年终奖 带薪年假,150-500人,网络游戏,校招,本科,招8人,0.5,1
前端工程师,深圳市领世达科技有限公司,深圳,民营公司,0.8-1.5万/月,员工旅游 年终奖金 弹性工作 五险一金 绩效奖金 周末双休 专业培训 交通补贴 餐饮补贴,50-150人,计算机服务(系统、数据服务、维修),校招,本科,招2人,0.8,1.5
软件开发,深圳市金达利计算机技术有限公司,深圳,民营公司,0.9-1.5万/月,五险一金 交通补贴 餐饮补贴 年终奖金 员工旅游,少于50人,计算机软件,校招,本科,招3人,0.9,1.5
初级图像算法工程师,宾盛科技（武汉）有限公司,武汉,民营公司,0.7-1.2万/月,五险一金 绩效奖金 年终奖金 专业培训,少于50人,计算机服务(系统、数据服务、维修),校招,大专,招1人,0.7,1.2
机器视觉助理工程师（2022届）,苏州德创测控科技有限公司,苏州,民营公司,0.6-1.2万/月,五险一金 员工旅游 交通补贴 年终奖金 绩效奖金 专业培训,150-500人,仪器仪表/工业自动化,无需经验,本科,招若干人,0.6,1.2
算法工程师（武汉）,青岛海讯数字科技有限公司,青岛,民营公司,0.8-1.5万/月,五险一金 绩效奖金 年终奖金 交通补贴 餐饮补贴 国内外旅游 节假日福利 专业培训 出差补贴,50-150人,计算机服务(系统、数据服务、维修),校招,本科,招5人,0.8,1.5
图像算法实习生,江苏华创高新医疗科技有限公司,昆山,民营公司,3-6千/月,交通补贴 餐饮补贴 周末双休 住房补贴 节假日福利,少于50人,医疗设备/器械,校招,本科,招3人,0.3,0.6
软件开发实习生,云南南天电子信息产业股份有限公司,昆明,上市公司,2.1-3.3千/月,周末双休 带薪年假 五险一金 专业培训 绩效奖金 定期体检 年终奖金,500-1000人,计算机软件,校招,本科,招10人,0.21,0.33
机器视觉开发工程师,北京汇丰隆经济技术开发有限公司,北京,民营公司,1-1.5万/月,五险一金 餐饮补贴 专业培训,50-150人,电子技术/半导体/集成电路,无需经验,本科,招若干人,1,1.5
UE地编专家,武汉智图科技有限责任公司广州分公司,广州,民营公司,2-3.5万/月,五险一金 年终奖金 定期体检,150-500人,计算机软件,无需经验,大专,招若干人,2,3.5
Web前端开发工程师 实习岗位,深圳市现代农业装备研究院,深圳,事业单位,4-8千/月,五险一金 定期体检 年终奖金 餐饮补贴 住房补贴 单位直招 节日福利 周末双休,少于50人,农/林/牧/渔,校招,硕士,招2人,0.4,0.8
软件开发工程师（周末双休）,武汉浩谱海洋探测系统有限公司,武汉,民营公司,5-8千/月,五险一金 员工旅游 年终奖金 弹性工作 专业培训,少于50人,电子技术/半导体/集成电路,校招,本科,招2人,0.5,0.8
电子产品软件工程师,浙江雷士灯具有限公司,衢州,民营公司,0.6-1.2万/月,五险一金 年终奖金 定期体检 通讯补贴,500-1000人,电子技术/半导体/集成电路,校招,本科,招5人,0.6,1.2
前端工程师,苏州悦谱半导体有限公司,苏州,民营公司,0.7-1.2万/月,五险一金 年终奖金 带薪年假 零食下午茶 节日福利,50-150人,电子技术/半导体/集成电路,无需经验,本科,招1人,0.7,1.2
软件工程师,联恒光科（苏州）智能技术有限公司,苏州,民营公司,0.6-1.1万/月,五险一金 绩效奖金 年终奖金 专业培训,少于50人,电子技术/半导体/集成电路,无需经验,本科,招5人,0.6,1.1
软件工程师,深圳深桑科科技有限公司,深圳,民营公司,1-2万/月,专业培训 年终奖金 员工旅游,50-150人,互联网/电子商务,无需经验,本科,招5人,1,2
图像算法工程师,苏州艾科瑞思智能装备股份有限公司,苏州,民营公司,1.5-2万/月,五险一金 节日福利 专业培训 规范带教 定期体检 年终奖金,50-150人,仪器仪表/工业自动化,校招,硕士,招5人,1.5,2
软件实习生,广东物网智能科技有限公司,东莞,民营公司,3.5-6千/月,员工旅游 通讯补贴 年终奖金 五险一金 5天工作制 弹性工作 周末双休 带薪年假 交通补贴 专业培训,少于50人,计算机服务(系统、数据服务、维修),校招,本科,招若干人,0.35,0.6
游戏管理员（GM）,武汉气吞云梦科技有限公司,武汉,民营公司,4-8千/月,五险一金 绩效奖金 带薪年假 带薪旅游 节日福利 年终奖金 周末双休,150-500人,网络游戏,无需经验,大专,招5人,0.4,0.8
软件工程师,哈工大机器人湖州国际创新研究院,湖州,事业单位,4-6千/月,五险一金 通讯补贴 餐饮补贴 交通补贴 绩效奖金 定期体检,50-150人,计算机软件,校招,本科,招3人,0.4,0.6
软件工程师,无锡安邦电气股份有限公司,无锡,民营公司,1-1.8万/月,五险一金 免费班车 交通补贴 绩效奖金 定期体检,150-500人,电子技术/半导体/集成电路,无需经验,本科,招若干人,1,1.8
软件开发工程师,上海银硕软件技术有限公司,浙江省,民营公司,5.5-7千/月,五险一金 员工旅游 餐饮补贴 通讯补贴 年终奖金 绩效奖金 定期体检,50-150人,计算机软件,校招,本科,招5人,0.55,0.7
研发部-实习生,珠海市物联网行业协会,珠海,非营利组织,3-4.5千/月,绩效奖金 节日福利 带薪年假 周末双休 免费班车 餐饮补贴 年终奖金 专业培训,50-150人,多元化业务集团公司,校招,大专,招4人,0.3,0.45
camera bsp,润芯微科技（江苏）有限公司,南京,民营公司,0.5-1万/月,五险一金 弹性工作 定期体检 绩效奖金 年终奖金 餐饮补贴 周末双休,1000-5000人,计算机软件,无需经验,本科,招若干人,0.5,1
软件工程师（应届生可落户北京）,ICD Security Solutions,北京,外资（欧美）,0.8-1.2万/月,五险一金 补充医疗保险 员工旅游 通讯补贴 专业培训 年终奖金 定期体检,150-500人,建筑/建材/工程,校招,本科,招1人,0.8,1.2
软件开发工程师（前端）,杭州路格科技有限公司,杭州,民营公司,0.6-1万/月,五险一金 定期体检 弹性工作 绩效奖金 年终奖金 员工旅游 专业培训 项目奖,50-150人,仪器仪表/工业自动化,无需经验,本科,招1人,0.6,1
视觉应用工程师,深圳市汇锦美自动化技术有限公司,深圳,民营公司,0.5-1万/月,五险一金 免费班车 专业培训 带薪年假 周末双休 国家假期 通讯补贴 出国机会 股票期权 年终奖金,50-150人,计算机软件,校招,大专,招20人,0.5,1
算法分析师,南京玻璃纤维研究设计院有限公司,南京,国企,9-14万/月,五险一金 交通补贴 餐饮补贴 专业培训 定期体检 周末双休 带薪年假 节日福利 绩效奖金 高温补贴,1000-5000人,学术/科研,无需经验,硕士,招1人,9,14
应届毕业生软件开发/测试工程师,惠州市指南测控技术有限公司,惠州,民营公司,4.5-6千/月,五险一金 交通补贴 专业培训 年终奖金,少于50人,仪器仪表/工业自动化,校招,本科,招10人,0.45,0.6
开发实习生,安徽农网信息科技有限公司,宣城,民营公司,4.5-6千/月,员工旅游 五险一金 交通补贴 餐饮补贴 年终奖金 专业培训 绩效奖金 周末双休,少于50人,计算机软件,校招,大专,招10人,0.45,0.6
软件工程师,上海集研机电股份有限公司,上海,民营公司,1-2万/月,五险一金 餐饮补贴 绩效奖金 带薪年假 补充医疗保险 节日福利 通讯补贴 居住证积分,少于50人,仪器仪表/工业自动化,无需经验,大专,招若干人,1,2
算法工程师（图像）,魅杰光电科技（上海）有限公司,上海,民营公司,1.5-3万/月,五险一金 弹性工作 股票期权 年终奖金 员工旅游 定期体检 绩效奖金,50-150人,电子技术/半导体/集成电路,校招,硕士,招5人,1.5,3
金融软件开发工程师,上海简雍资产管理有限公司,上海,民营公司,0.7-1.4万/月,五险一金 员工旅游 专业培训 定期体检,少于50人,金融/投资/证券,校招,本科,招2人,0.7,1.4
研发工程师助理,上海正久电子科技有限公司,上海,民营公司,0.9-1万/月,五险一金 定期体检 员工旅游 专业培训,少于50人,电子技术/半导体/集成电路,校招,大专,招1人,0.9,1
应届毕业生—研发岗位,盎锐（上海）信息科技有限公司,上海,外资（非欧美）,0.8-1万/月,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,50-150人,电子技术/半导体/集成电路,校招,本科,招1人,0.8,1
海外运营专员（校招）,星辉游戏,广州,上市公司,0.8-1万/月,五险一金 绩效奖金 年终奖金 发展空间大 定期体检 餐饮补贴 弹性工作,500-1000人,网络游戏,校招,本科,招若干人,0.8,1
深度学习算法工程师（2022届）,汉王科技股份有限公司,武汉,民营公司,1.3-1.6万/月,五险一金 交通补贴 餐饮补贴 通讯补贴 年终奖金 定期体检 补充医疗保险,500-1000人,计算机软件,校招,硕士,招5人,1.3,1.6
Android开发工程师,江苏汉云智数科技有限公司,合肥,外资（非欧美）,6-8千/月,五险一金 员工旅游 绩效奖金 年终奖金 餐饮补贴,50-150人,计算机软件,无需经验,大专,招2人,0.6,0.8
软件工程师（2022届）,上海广翼智联科技有限公司,上海,上市公司,0.9-1.5万/月,五险一金 员工旅游 专业培训 定期体检 年终奖金 绩效奖金,50-150人,电子技术/半导体/集成电路,校招,本科,招15人,0.9,1.5
IT软件工程师（有发展空间）,西安力控元泽科技有限公司,深圳,合资,0.8-1万/月,五险一金 免费班车 员工旅游 弹性工作 年终奖金 绩效奖金 周末双休 包住 定期体检 朝九晚六,150-500人,计算机软件,无需经验,中技/中专,招若干人,0.8,1
Android开发助理工程师（实习）,广州市派客朴食信息科技有限责任公司,广州,民营公司,5-7千/月,五险一金 年终奖金 绩效奖金,150-500人,互联网/电子商务,校招,大专,招1人,0.5,0.7
外协视觉工程师,苏州市凌臣采集计算机有限公司,苏州,民营公司,4.5-6千/月,员工旅游 年终奖金 绩效奖金 弹性工作 包吃 加班补贴 全勤奖,50-150人,仪器仪表/工业自动化,校招,大专,招10人,0.45,0.6
（前端开发）Java开发工程师,中山嚞仁企业管理有限公司,中山,民营公司,4-8千/月,周末双休 绩效奖金 年终奖金 带薪年假,少于50人,专业服务(咨询、人力资源、财会),校招,大专,招2人,0.4,0.8
助理软件开发工程师,广州力得技术有限公司,广州,民营公司,3-4.5千/月,定期体检 餐饮补贴 通讯补贴 年终奖金 员工旅游 五险一金 绩效奖金 弹性工作,少于50人,仪器仪表/工业自动化,校招,大专,招6人,0.3,0.45
安卓软件开发培训生,湖北亿咖通科技有限公司,武汉,民营公司,1.3-2.1万/月,五险一金 补充医疗保险 弹性工作 餐饮补贴 通讯补贴 定期体检 绩效奖金 年终奖金,1000-5000人,计算机软件,校招,本科,招若干人,1.3,2.1
"软件工程师（C++,不提倡加班）",安徽华明航空电子系统有限公司,芜湖,民营公司,1-1.5万/月,五险一金 免费班车 员工旅游 餐饮补贴 专业培训 出国机会 年终奖金 定期体检,50-150人,电子技术/半导体/集成电路,无需经验,本科,招5人,1,1.5
机器视觉光学工程师,昆山佰奥智能装备股份有限公司,昆山,上市公司,5-7千/月,五险一金 年终奖金 包吃包住 全勤奖 弹性工作,500-1000人,家具/家电/玩具/礼品,校招,本科,招2人,0.5,0.7
初级算法工程师,广州瑞多思医疗科技有限公司,广州,民营公司,0.8-1.5万/月,周末双休 五险一金 绩效奖金 年终奖金 交通补贴 住房补贴 全勤奖 弹性工作 定期体检 员工旅游,50-150人,医疗设备/器械,校招,本科,招1人,0.8,1.5
游戏UI美工-助理（可应届毕业生）,深圳市悠享网络科技有限公司,深圳,创业公司,0.8-1万/月,五险一金 员工旅游 交通补贴 通讯补贴 绩效奖金 年终奖金 弹性工作 周末双休,50-150人,网络游戏,校招,大专,招1人,0.8,1
软件工程师（一）,香港永新专利商标代理有限公司北京办事处,北京,外资（非欧美）,2-2.5万/月,五险一金 补充医疗保险 员工旅游 餐饮补贴 专业培训 出国机会 定期体检 弹性工作 绩效奖金 交通补贴,500-1000人,法律,校招,硕士,招2人,2,2.5
应用软件开发工程师,四川和芯微电子股份有限公司,成都,民营公司,0.5-1万/月,补充医疗保险 员工旅游 餐饮补贴 通讯补贴 绩效奖金 年终奖金 弹性工作 定期体检 五险一金 带薪年假,150-500人,电子技术/半导体/集成电路,无需经验,本科,招1人,0.5,1
角色原画组长+五险一金,湖南朵儿创艺文化传播有限公司,长沙,民营公司,6-8千/月,五险一金 节日福利 弹性工作 周末双休 带薪年假 绩效奖金 全勤奖,50-150人,影视/媒体/艺术/文化传播,校招,大专,招5人,0.6,0.8
软件开发工程师（桌面开发）,广州检验检测认证集团有限公司,广州,国企,0.9-1.3万/月,五险一金 绩效奖金 专业培训 年终奖金 餐饮补贴,1000-5000人,检测，认证,校招,本科,招1人,0.9,1.3
3D游戏角色建模师+双休,长沙漫影网络科技有限公司,长沙,民营公司,6-8千/月,五险一金 员工旅游 出国机会 弹性工作 绩效奖金 年终奖金 补充公积金,50-150人,影视/媒体/艺术/文化传播,校招,大专,招5人,0.6,0.8
算法工程师,苏州苏大维格科技集团股份有限公司,苏州,上市公司,0.6-1.2万/月,五险一金 绩效奖金 年终奖金 定期体检 弹性工作,500-1000人,印刷/包装/造纸,无需经验,本科,招2人,0.6,1.2
嵌入式驱动工程师（Android/Linux）,深圳市新移科技有限公司,深圳,民营公司,1-2万/月,五险一金 补充医疗保险 员工旅游 专业培训 绩效奖金 年终奖金 带薪年假,50-150人,电子技术/半导体/集成电路,无需经验,大专,招3人,1,2
RFID算法工程师（22届管培生）,东集技术股份有限公司,南京,民营公司,0.8-1.2万/月,五险一金 年终奖金 交通补贴 定期体检 弹性工作 带薪年假 加班补贴 餐饮补贴 高温补贴 周末双休,500-1000人,电子技术/半导体/集成电路,校招,本科,招2人,0.8,1.2
视觉算法工程师（2022届应届生）,深圳市燕麦科技股份有限公司,深圳,上市公司,1.8-2万/月,五险一金 节日福利 专业培训 员工旅游 年终奖金 股票期权 定期体检 延休假,500-1000人,仪器仪表/工业自动化,校招,硕士,招10人,1.8,2
算法实习生,重庆电政信息科技有限公司,重庆,民营公司,6-8千/月,五险一金 绩效奖金 周末双休 员工宿舍 弹性工作 全勤奖 节假日福利 交通补贴 餐饮补贴 半年调薪机会,50-150人,计算机软件,校招,硕士,招若干人,0.6,0.8
Web前端开发工程师,中科南京信息高铁研究院,南京,事业单位,0.8-1.6万/月,五险一金 年终奖金 定期体检,50-150人,计算机软件,无需经验,本科,招若干人,0.8,1.6
研发助理工程师,深圳市普德新星电源技术有限公司,梧州,民营公司,4.5-6千/月,五险 包吃包住 年终奖金 专业培训,1000-5000人,电子技术/半导体/集成电路,校招,本科,招5人,0.45,0.6
软件工程师（上海）（22届校招）,苏州顺芯半导体有限公司,上海,合资,1-2万/月,五险一金 餐饮补贴,少于50人,电子技术/半导体/集成电路,无需经验,本科,招若干人,1,2
Android开发工程师,深圳市汇联时代科技有限公司,深圳,民营公司,0.8-1万/月,五险一金 员工旅游 年终奖金 专业培训,150-500人,通信/电信/网络设备,校招,本科,招4人,0.8,1
图像算法工程师（三维重建方向）,珠海市四维时代网络科技有限公司,深圳,民营公司,1.2-2.2万/月,员工旅游 出国机会 年终奖金 定期体检 免费饮料供应 专业培训 教育基金 六险一金 周末双休,150-500人,计算机软件,无需经验,硕士,招2人,1.2,2.2
软件工程师（应届毕业生）,深圳绿威科技有限公司,深圳,民营公司,0.8-1.2万/月,五险一金 绩效奖金 年终奖金 员工旅游,50-150人,电子技术/半导体/集成电路,无需经验,本科,招若干人,0.8,1.2
软件设计,绵阳市维博电子有限责任公司,绵阳,国企,1-2万/月,五险一金 餐饮补贴 绩效奖金 年终奖金 带薪年假,150-500人,仪器仪表/工业自动化,无需经验,硕士,招2人,1,2
视觉工程师（图形/图像/机器视觉）,武汉深海弈智科技有限公司,武汉,民营公司,0.9-1.6万/月,五险一金 餐饮补贴 专业培训 绩效奖金 年终奖金 出国机会 员工宿舍,50-150人,计算机软件,无需经验,本科,招1人,0.9,1.6
游戏活动运营助理,湖南省沃尔信息技术有限公司,长沙,创业公司,4-6千/月,五险一金 周末双休 绩效奖金 带薪年假 全勤奖 餐饮补贴 定期体检 补充医疗保险 免费零食 节日福利,少于50人,网络游戏,无需经验,本科,招1人,0.4,0.6
高级前端开发工程师,江苏新智合电力技术有限公司,无锡,民营公司,1.2-2.4万/月,五险一金 员工旅游 定期体检 年终奖金 出差补贴 周末双休 带薪年假,50-150人,计算机软件,无需经验,大专,招2人,1.2,2.4
软件工程师（应届生）,杭州铁木辛柯建筑结构设计事务所有限公司,杭州,民营公司,0.7-1.2万/月,五险一金 员工旅游 定期体检 年终奖金 周末双休 补充医疗保险,50-150人,建筑/建材/工程,校招,本科,招若干人,0.7,1.2
软件开发实习生,武汉星欣之光科技有限公司,武汉,民营公司,4.5-6千/月,五险一金 员工旅游 餐饮补贴 年终奖金 绩效奖金 定期体检 带薪年假 周末双休 定期团建 节日福利,50-150人,计算机软件,无需经验,大专,招8人,0.45,0.6
助理软件工程师（项目）,广东每通测控科技股份有限公司,东莞,民营公司,3.5-7千/月,五险一金 年终奖金 员工旅游 包吃 包住宿 全勤奖 节日福利 生日礼物 固定调薪 员工关怀,500-1000人,机械/设备/重工,无需经验,大专,招1人,0.35,0.7
前端助理工程师,武汉览山科技有限公司,武汉,民营公司,4-8千/月,五险一金 年终奖金 绩效奖金 股票期权 员工旅游 定期体检,50-150人,计算机软件,无需经验,大专,招若干人,0.4,0.8
助理软件工程师,东莞深创产业科技有限公司,东莞,民营公司,6-8千/月,五险一金 绩效奖金 年终奖金 员工旅游 周末双休 节日福利 包食宿 带薪年假 法定节假日 住房公积金,150-500人,物业管理/商业中心,无需经验,本科,招3人,0.6,0.8
Shopify前端开发,广州网海渔夫广告有限责任公司,广州,创业公司,0.8-1万/月,绩效奖金,少于50人,广告,无需经验,大专,招10人,0.8,1
