招聘信息,公司名,工作地点,公司类型,薪资,福利,公司规模,企业类型,工作经验,学历,招聘人数,最低薪资,最高薪资
奥迪4S店续保销售,安徽新桥融富科技服务有限公司,合肥,民营公司,0.7-1万/月,五险一金 节日福利 绩效奖金 餐饮补贴 带薪年假,150-500人,汽车,无需经验,大专,招1人,0.7,1
众安催收后端（提点10——20）,安徽三酉电子商务有限公司,合肥,民营公司,1-2万/月,五险一金 专业培训 弹性工作 绩效奖金 包住 可实习,1000-5000人,通信/电信运营、增值服务,无需经验,高中,招10人,1,2
税务协助人员,湖北腾飞人才股份有限公司,武汉,民营公司,3-4.5千/月,专业培训 包吃 包住宿 全勤奖 绩效奖金 五险一金 餐饮补贴 年终奖金,150-500人,专业服务(咨询、人力资源、财会),无需经验,大专,招3人,0.3,0.45
财务重点储备生,合盛硅业股份有限公司,宁波,上市公司,6-8千/月,缴纳社保 生日慰问 提供免费食宿 工龄工资 加班补贴 带薪年假 绩效奖金 通讯补贴,10000人以上,石油/化工/矿产/地质,校招,本科,招10人,0.6,0.8
生产会计,谷实生物集团股份有限公司,黑龙江省,民营公司,4-5千/月,五险一金 包吃 包住宿 全勤奖 加班补贴 节日福利 绩效奖金,1000-5000人,农/林/牧/渔,校招,本科,招5人,0.4,0.5
财务实习生,上海芯港信息科技有限责任公司,上海,民营公司,3-5千/月,带薪年假 五险一金 周末双休,150-500人,计算机软件,校招,大专,招1人,0.3,0.5
会计助理,上海捷道停车场管理有限公司,深圳,民营公司,6-7千/月,节日福利 工作环境好 高温补贴 带薪年假 五险一金 员工旅游 年终奖金 专业培训 绩效奖金 做五休二,150-500人,专业服务(咨询、人力资源、财会),无需经验,中技/中专,招1人,0.6,0.7
招商银行服务专员（北京）,深圳市汇合发展有限公司西安分公司,北京,民营公司,0.5-1万/月,节日费 五险一金 定期体检 绩效奖金 弹性工作,5000-10000人,金融/投资/证券,无需经验,大专,招10人,0.5,1
财务专员,广州梦马电商科技有限公司,广州,民营公司,4.5-6千/月,专业培训,少于50人,互联网/电子商务,校招,大专,招若干人,0.45,0.6
会计助理（接受非短期实习生）,深圳市华运国际物流有限公司,深圳,民营公司,3.5-5千/月,五险一金 绩效奖金 年终奖金 周末双休 带薪年假,1000-5000人,交通/运输/物流,校招,大专,招1人,0.35,0.5
万科物业-资金专员（萧山/滨江）,杭州万科物业服务有限公司,杭州,民营公司,5-7千/月,五险一金 绩效奖金 加班补贴 专业培训 带薪年假 年终奖金 定期体检 大小休,10000人以上,物业管理/商业中心,无需经验,大专,招2人,0.5,0.7
服务营销主任（西城）,中国人民人寿保险股份有限公司北京市分公司,北京,国企,0.8-1万/月,弹性工作 专业培训 绩效奖金,1000-5000人,保险,无需经验,大专,招10人,0.8,1
审计实习生,深圳皇嘉财润财务顾问股份有限公司广州分公司,广州,上市公司,2-3千/月,周末双休 带薪年假 五险一金 节日福利 专业培训 交通补贴 年底双薪 员工旅游,150-500人,专业服务(咨询、人力资源、财会),校招,大专,招2人,0.2,0.3
账务助理（双休+五险一金+福利多）,广州东永港华燃气有限公司,广州,合资,4.5-5.5千/月,五险一金 绩效奖金 年终奖金 定期体检 年底双薪 高温补贴 节日福利 双休 补充医疗保险 餐饮补贴,150-500人,石油/化工/矿产/地质,无需经验,大专,招1人,0.45,0.55
高底薪金融销售,邦芒服务外包有限公司,南京,民营公司,2-3万/月,节日福利,1000-5000人,专业服务(咨询、人力资源、财会),无需经验,大专,招若干人,2,3
电话催收专员,浙江申汇金融服务外包有限公司广州第二分公司,广州,民营公司,0.8-1万/月,弹性工作 年终奖金 员工旅游 法定节假日 五险 带薪年假 员工生日 员工祝贺,50-150人,金融/投资/证券,无需经验,中技/中专,招若干人,0.8,1
金融销售专员,杭州高能投资咨询有限公司,杭州,民营公司,0.5-1万/月,五险一金 绩效奖金 年终奖金 专业培训 生日节日福利 全勤奖 定期团建 工作氛围好 高提成 晋升空间大,150-500人,金融/投资/证券,无需经验,大专,招20人,0.5,1
会计,东莞市广协代理记账有限公司,东莞,民营公司,4.5-6千/月,周末双休,少于50人,会计/审计,无需经验,大专,招若干人,0.45,0.6
规划师助理,四川凯洋浩博科技有限公司,成都,民营公司,6-8千/月,五险一金 出国机会 员工旅游 绩效奖金 弹性工作 周末双休 带薪年假 节日福利 餐饮补贴 专业培训,50-150人,金融/投资/证券,无需经验,大专,招若干人,0.6,0.8
财务实习生,杭州德昌五金家具有限公司,杭州,民营公司,3-4.5千/月,全勤奖 节日福利 五险 包工作餐 住房补贴 生日福利,150-500人,机械/设备/重工,校招,大专,招1人,0.3,0.45
财务出纳,安徽天佰石化有限公司,合肥,民营公司,3-4.5千/月,五险一金 员工旅游 餐饮补贴 通讯补贴 专业培训 交通补贴 绩效奖金 年终奖金,少于50人,石油/化工/矿产/地质,校招,大专,招2人,0.3,0.45
